,test_day,model,hour,feature,importance,importance_type,importance_std
138,2020-10-03 09:00:00,Naive,9,German_holiday,,not_applicable,
139,2020-10-03 09:00:00,Naive,9,Luxembourg_holiday,,not_applicable,
140,2020-10-03 09:00:00,Naive,9,weekday,,not_applicable,
141,2020-10-03 09:00:00,Naive,9,hour,,not_applicable,
142,2020-10-03 09:00:00,Naive,9,month,,not_applicable,
143,2020-10-03 09:00:00,Naive,9,year,,not_applicable,
144,2020-10-04 09:00:00,Decision Tree,9,Total Load FC [MWh],0.0,tree_feature_importance,
145,2020-10-04 09:00:00,Decision Tree,9,Wind Offshore Production FC [MWh],0.0,tree_feature_importance,
146,2020-10-04 09:00:00,Decision Tree,9,Wind Onshore Production FC [MWh],0.0,tree_feature_importance,
147,2020-10-04 09:00:00,Decision Tree,9,Photovoltaik Production FC [MWh],0.0,tree_feature_importance,
148,2020-10-04 09:00:00,Decision Tree,9,Other Production FC [MWh],3.1608103299023764e-06,tree_feature_importance,
149,2020-10-04 09:00:00,Decision Tree,9,Day Ahead Price [EUR/MWh],0.9999968391896701,tree_feature_importance,
150,2020-10-04 09:00:00,Decision Tree,9,German_holiday,0.0,tree_feature_importance,
151,2020-10-04 09:00:00,Decision Tree,9,Luxembourg_holiday,0.0,tree_feature_importance,
152,2020-10-04 09:00:00,Decision Tree,9,weekday,0.0,tree_feature_importance,
153,2020-10-04 09:00:00,Decision Tree,9,hour,0.0,tree_feature_importance,
154,2020-10-04 09:00:00,Decision Tree,9,month,0.0,tree_feature_importance,
155,2020-10-04 09:00:00,Decision Tree,9,year,0.0,tree_feature_importance,
156,2020-10-04 09:00:00,Random Forest,9,Total Load FC [MWh],0.00012277186089959316,tree_feature_importance,
157,2020-10-04 09:00:00,Random Forest,9,Wind Offshore Production FC [MWh],3.390608240563955e-05,tree_feature_importance,
158,2020-10-04 09:00:00,Random Forest,9,Wind Onshore Production FC [MWh],6.17521183431351e-05,tree_feature_importance,
159,2020-10-04 09:00:00,Random Forest,9,Photovoltaik Production FC [MWh],8.731155623227295e-05,tree_feature_importance,
160,2020-10-04 09:00:00,Random Forest,9,Other Production FC [MWh],0.00011622481085983181,tree_feature_importance,
161,2020-10-04 09:00:00,Random Forest,9,Day Ahead Price [EUR/MWh],0.9994079575225181,tree_feature_importance,
162,2020-10-04 09:00:00,Random Forest,9,German_holiday,1.125351104742667e-06,tree_feature_importance,
163,2020-10-04 09:00:00,Random Forest,9,Luxembourg_holiday,2.257169257092173e-06,tree_feature_importance,
164,2020-10-04 09:00:00,Random Forest,9,weekday,5.350111632330386e-05,tree_feature_importance,
165,2020-10-04 09:00:00,Random Forest,9,hour,0.0,tree_feature_importance,
166,2020-10-04 09:00:00,Random Forest,9,month,8.89027282270894e-05,tree_feature_importance,
167,2020-10-04 09:00:00,Random Forest,9,year,2.4289683829317876e-05,tree_feature_importance,
168,2020-10-04 09:00:00,Neural Network,9,Total Load FC [MWh],0.10821982311425238,permutation_importance_train,0.0064299416527269235
